sale_id,sale_date,delivery_type,discount_amount,customer_id,employee_id
119,2026-01-13,Pickup,0.0,33,19
120,2026-01-25,Pickup,24.72,34,28
121,2026-01-29,Pickup,0.0,44,12
122,2026-04-07,Pickup,115.11,46,39
123,2026-05-09,Pickup,22.72,40,47
124,2026-04-23,Pickup,0.0,56,47
125,2025-11-15,Delivery,146.47,51,5
126,2026-03-10,Delivery,0.0,20,20
127,2026-02-12,Pickup,0.0,44,16
128,2026-01-20,Delivery,0.0,16,41
129,2026-04-06,Pickup,0.0,52,33
130,2026-03-23,Delivery,65.85,9,18
131,2026-02-14,Pickup,0.0,38,30
132,2026-05-01,Pickup,0.0,30,29
133,2026-03-25,Pickup,0.0,4,45
134,2026-03-22,Delivery,0.0,32,12
135,2025-12-08,Pickup,0.0,14,23
136,2026-04-03,Pickup,0.0,45,4
137,2026-04-11,Pickup,0.0,3,4
138,2026-05-03,Pickup,0.0,3,22
139,2026-03-28,Delivery,0.0,59,15
140,2026-05-01,Pickup,0.0,41,4
141,2026-01-30,Pickup,0.0,31,9
142,2025-12-13,Pickup,0.0,9,5
143,2026-02-02,Delivery,188.62,4,6
144,2026-04-26,Pickup,150.26,44,15
145,2025-12-26,Delivery,0.0,20,44
146,2026-02-13,Pickup,0.0,44,33
147,2026-03-09,Delivery,0.0,37,15
148,2026-04-08,Pickup,154.62,60,38
149,2026-03-16,Pickup,0.0,9,10
150,2026-04-05,Delivery,0.0,8,27
